2,Evgeniy,Dolgiy,Pavlovich,88005553535,ED,EDp,2020-05-20 14:43:45.000000,2020-05-20 14:43:49.000000,1995-12-11,false,,
7,User5s,User5s,User5s,88005553535,User5,User5p,2020-05-20 16:09:24.000000,2020-05-20 16:09:30.000000,1998-05-15,false,,
6,User4s,User4s,User4s,88005553535,User4,User4p,2020-05-20 14:43:45.000000,2020-05-20 14:43:49.000000,2000-07-20,false,,
3,User1s,User1s,User1s,12345678910,User1,User1p,2020-05-20 14:43:45.000000,2020-05-20 14:43:49.000000,1991-12-19,false,,
10,User8s,User8s,User8s,88005553535,User8,User8p,2020-05-20 16:09:28.000000,2020-05-20 16:09:32.000000,1999-05-19,false,,
5,User3s,User3s,User3s,12345678910,User3,User3p,2020-05-20 14:43:45.000000,2020-05-20 14:43:49.000000,1995-12-28,false,,
4,User2s,User2s,User2s,12345678910,User2,User2p,2020-05-20 14:43:45.000000,2020-05-20 14:43:49.000000,1998-08-20,false,,
8,User6s,User6s,User6s,88005553535,User6,User6p,2020-05-20 16:09:26.000000,2020-05-20 16:09:31.000000,2006-05-11,false,,
9,User7s,User7s,User7s,12345678910,User7,User7p,2020-05-20 16:09:27.000000,2020-05-20 16:09:32.000000,1996-05-10,false,,
16,vasa,vasa,vasa,88006663636,2162245c-ad5c-4a78-bef1-2b71c8369d21,vasa,2020-05-31 18:13:16.627000,2020-05-31 18:13:16.627000,2020-05-31,false,123@mail.ru,Belarus
11,vasa,User9s,User9s,88005553535,"User9
","User9p
",2020-05-20 16:09:29.000000,2020-05-31 18:15:04.420000,2002-05-17,false,,
21,0,0,0,88006663636,725a271f-dacb-4250-b493-c3fbbfe886890,0,2020-05-31 18:20:26.784000,2020-05-31 18:20:26.784000,2020-05-31,false,123@mail.ru,Belarus
23,0,0,0,88006663636,d4974d6d-9f2e-40b2-94cd-4de209c398b20,0,2020-05-31 18:24:40.690000,2020-05-31 18:24:40.690000,2020-05-31,false,123@mail.ru,Belarus
24,0,0,0,88006663636,d4974d6d-9f2e-40b2-94cd-4de209c398b21,0,2020-05-31 18:24:40.690000,2020-05-31 18:24:40.690000,2020-05-31,false,123@mail.ru,Belarus
25,0,0,0,88006663636,66c9b57b-9794-46af-b455-18be829250de,0,2020-05-31 18:24:55.081000,2020-05-31 18:24:55.081000,2020-05-31,false,123@mail.ru,Belarus
27,vasan,vasan,vasan,88006663636,a99ddb49-3853-46fa-bf9a-8caafb6dfccb,vasan,2020-05-31 18:45:16.615000,2020-05-31 18:45:16.615000,2020-05-31,false,123@mail.ru,Belarus
28,0,0,0,88006663636,ca169693-7077-4ada-a98d-cfac8fa691a10,0,2020-05-31 18:50:26.195000,2020-05-31 18:50:26.195000,2020-05-31,false,123@mail.ru,Belarus
29,0,0,0,88006663636,ca169693-7077-4ada-a98d-cfac8fa691a11,0,2020-05-31 18:50:26.195000,2020-05-31 18:50:26.195000,2020-05-31,false,123@mail.ru,Belarus
30,nane,nane,nane,88006663636,e54840e3-0314-4ec0-a939-185482c22dfb0,nane,2020-05-31 18:50:37.935000,2020-05-31 18:50:37.935000,2020-05-31,false,123@mail.ru,Belarus
31,nane,nane,nane,88006663636,e54840e3-0314-4ec0-a939-185482c22dfb1,nane,2020-05-31 18:50:37.935000,2020-05-31 18:50:37.935000,2020-05-31,false,123@mail.ru,Belarus
